item_id,definition,language,form,type,category,lexical_category,lexical_class,uni_lemma,complexity_category,num_item_id
item_1,tutÃ,Spanish (Mexican),WS,word,sounds,other,other,choo choo,,1
item_2,quiquiriquÃ,Spanish (Mexican),WS,word,sounds,other,other,cockadoodledoo,,2
item_3,Â¡pu,Spanish (Mexican),WS,word,sounds,other,other,bang,,3
item_4,pipÃ,Spanish (Mexican),WS,word,sounds,other,other,honk honk,,4
item_5,pÃ­o p�,Spanish (Mexican),WS,word,sounds,other,other,tweet tweet,,5
item_6,muu,Spanish (Mexican),WS,word,sounds,other,other,moo,,6
item_7,miau,Spanish (Mexican),WS,word,sounds,other,other,meow,,7
item_8,guaguÃ,Spanish (Mexican),WS,word,sounds,other,other,woof woof,,8
item_9,cuacuÃ,Spanish (Mexican),WS,word,sounds,other,other,quack quack,,9
item_10,bee/mee,Spanish (Mexican),WS,word,sounds,other,other,baa baa,,10
item_11,Â¡a,Spanish (Mexican),WS,word,sounds,other,other,yum yum,,11
item_12,Â¡a,Spanish (Mexican),WS,word,sounds,other,other,ouch,,12
item_13,vÃ­bo,Spanish (Mexican),WS,word,animals,nouns,nouns,NA,,13
item_14,venado,Spanish (Mexican),WS,word,animals,nouns,nouns,deer,,14
item_15,vaca,Spanish (Mexican),WS,word,animals,nouns,nouns,cow,,15
item_16,tortuga,Spanish (Mexican),WS,word,animals,nouns,nouns,turtle,,16
item_17,tigre,Spanish (Mexican),WS,word,animals,nouns,nouns,tiger,,17
item_18,ratÃ�,Spanish (Mexican),WS,word,animals,nouns,nouns,mouse,,18
item_19,rana,Spanish (Mexican),WS,word,animals,nouns,nouns,frog,,19
item_20,puerco,Spanish (Mexican),WS,word,animals,nouns,nouns,pig,,20
item_21,pollito,Spanish (Mexican),WS,word,animals,nouns,nouns,chick,,21
item_22,pingÃ¼i,Spanish (Mexican),WS,word,animals,nouns,nouns,penguin,,22
item_23,pescado,Spanish (Mexican),WS,word,animals,nouns,nouns,fish (animal),,23
item_24,perro,Spanish (Mexican),WS,word,animals,nouns,nouns,dog,,24
item_25,pato,Spanish (Mexican),WS,word,animals,nouns,nouns,duck,,25
item_26,pÃ¡ja,Spanish (Mexican),WS,word,animals,nouns,nouns,bird,,26
item_27,oso,Spanish (Mexican),WS,word,animals,nouns,nouns,bear,,27
item_28,mosco,Spanish (Mexican),WS,word,animals,nouns,nouns,NA,,28
item_29,mosca,Spanish (Mexican),WS,word,animals,nouns,nouns,fly (animal),,29
item_30,mono,Spanish (Mexican),WS,word,animals,nouns,nouns,monkey,,30
item_31,mariposa,Spanish (Mexican),WS,word,animals,nouns,nouns,butterfly,,31
item_32,lobo,Spanish (Mexican),WS,word,animals,nouns,nouns,wolf,,32
item_33,leÃ�,Spanish (Mexican),WS,word,animals,nouns,nouns,lion,,33
item_34,jirafa,Spanish (Mexican),WS,word,animals,nouns,nouns,giraffe,,34
item_35,hormiga,Spanish (Mexican),WS,word,animals,nouns,nouns,ant,,35
item_36,hipopÃ³ta,Spanish (Mexican),WS,word,animals,nouns,nouns,hippopotamus,,36
item_37,guajolote,Spanish (Mexican),WS,word,animals,nouns,nouns,turkey,,37
item_38,gato,Spanish (Mexican),WS,word,animals,nouns,nouns,cat,,38
item_39,ganso,Spanish (Mexican),WS,word,animals,nouns,nouns,NA,,39
item_40,gallina,Spanish (Mexican),WS,word,animals,nouns,nouns,hen,,40
item_41,foca,Spanish (Mexican),WS,word,animals,nouns,nouns,NA,,41
item_42,elefante,Spanish (Mexican),WS,word,animals,nouns,nouns,elephant,,42
item_43,conejo,Spanish (Mexican),WS,word,animals,nouns,nouns,bunny,,43
item_44,cocodrilo,Spanish (Mexican),WS,word,animals,nouns,nouns,NA,,44
item_45,cebra,Spanish (Mexican),WS,word,animals,nouns,nouns,NA,,45
item_46,caballo,Spanish (Mexican),WS,word,animals,nouns,nouns,horse,,46
item_47,burro,Spanish (Mexican),WS,word,animals,nouns,nouns,donkey,,47
item_48,bÃº,Spanish (Mexican),WS,word,animals,nouns,nouns,owl,,48
item_49,buey,Spanish (Mexican),WS,word,animals,nouns,nouns,ox,,49
item_50,borrego,Spanish (Mexican),WS,word,animals,nouns,nouns,lamb,,50
item_51,bicho,Spanish (Mexican),WS,word,animals,nouns,nouns,NA,,51
item_52,ardilla,Spanish (Mexican),WS,word,animals,nouns,nouns,squirrel,,52
item_53,araÃ�,Spanish (Mexican),WS,word,animals,nouns,nouns,spider,,53
item_54,animal,Spanish (Mexican),WS,word,animals,nouns,nouns,animal,,54
item_55,abeja,Spanish (Mexican),WS,word,animals,nouns,nouns,bee,,55
item_56,trineo,Spanish (Mexican),WS,word,vehicles,nouns,nouns,NA,,56
item_57,triciclo (vehicles),Spanish (Mexican),WS,word,vehicles,nouns,nouns,NA,,57
item_58,tren,Spanish (Mexican),WS,word,vehicles,nouns,nouns,train,,58
item_59,tractor,Spanish (Mexican),WS,word,vehicles,nouns,nouns,tractor,,59
item_60,moto,Spanish (Mexican),WS,word,vehicles,nouns,nouns,motorcycle,,60
item_61,helicÃ³pte,Spanish (Mexican),WS,word,vehicles,nouns,nouns,helicopter,,61
item_62,carro/coche,Spanish (Mexican),WS,word,vehicles,nouns,nouns,car,,62
item_63,carreola,Spanish (Mexican),WS,word,vehicles,nouns,nouns,stroller,,63
item_64,camiÃ³n/tro,Spanish (Mexican),WS,word,vehicles,nouns,nouns,truck,,64
item_65,camiÃ³n de bombe,Spanish (Mexican),WS,word,vehicles,nouns,nouns,firetruck,,65
item_66,bicicleta,Spanish (Mexican),WS,word,vehicles,nouns,nouns,bicycle,,66
item_67,barco,Spanish (Mexican),WS,word,vehicles,nouns,nouns,boat,,67
item_68,aviÃ�,Spanish (Mexican),WS,word,vehicles,nouns,nouns,airplane,,68
item_69,autobÃ�,Spanish (Mexican),WS,word,vehicles,nouns,nouns,NA,,69
item_70,agua,Spanish (Mexican),WS,word,food_drink,nouns,nouns,water (beverage),,70
item_71,arroz,Spanish (Mexican),WS,word,food_drink,nouns,nouns,rice,,71
item_72,atole,Spanish (Mexican),WS,word,food_drink,nouns,nouns,atole,,72
item_73,atÃ�,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,73
item_74,azÃºc,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,74
item_75,cafÃ,Spanish (Mexican),WS,word,food_drink,nouns,nouns,coffee,,75
item_76,calabaza,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,76
item_77,carne,Spanish (Mexican),WS,word,food_drink,nouns,nouns,meat,,77
item_78,cereal,Spanish (Mexican),WS,word,food_drink,nouns,nouns,cereal,,78
item_79,chÃ­cha,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,79
item_80,chicle,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,80
item_81,chile,Spanish (Mexican),WS,word,food_drink,nouns,nouns,chili,,81
item_82,chocolate,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,82
item_83,comida,Spanish (Mexican),WS,word,food_drink,nouns,nouns,food,,83
item_84,dulce,Spanish (Mexican),WS,word,food_drink,nouns,nouns,candy,,84
item_85,durazno,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,85
item_86,ejotes,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,86
item_87,elote,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,87
item_88,espagueti,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,88
item_89,fresa,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,89
item_90,frijoles,Spanish (Mexican),WS,word,food_drink,nouns,nouns,beans,,90
item_91,galleta,Spanish (Mexican),WS,word,food_drink,nouns,nouns,cookie,,91
item_92,gelatina,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,92
item_93,hamburguesa,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,93
item_94,helado/nieve,Spanish (Mexican),WS,word,food_drink,nouns,nouns,ice cream,,94
item_95,hielo,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,95
item_96,hot cakes,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,96
item_97,huevo,Spanish (Mexican),WS,word,food_drink,nouns,nouns,egg,,97
item_98,jamÃ�,Spanish (Mexican),WS,word,food_drink,nouns,nouns,ham,,98
item_99,jugo,Spanish (Mexican),WS,word,food_drink,nouns,nouns,juice,,99
item_100,leche,Spanish (Mexican),WS,word,food_drink,nouns,nouns,milk,,100
item_101,licuado,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,101
item_102,limonada,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,102
item_103,cacahuete/manÃ,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,103
item_104,mantequilla,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,104
item_105,manzana,Spanish (Mexican),WS,word,food_drink,nouns,nouns,apple,,105
item_106,melÃ�,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,106
item_107,mermelada,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,107
item_108,naranja,Spanish (Mexican),WS,word,food_drink,nouns,nouns,orange (food),,108
item_109,paleta,Spanish (Mexican),WS,word,food_drink,nouns,nouns,lollipop,,109
item_110,palomitas,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,110
item_111,pan,Spanish (Mexican),WS,word,food_drink,nouns,nouns,bread,,111
item_112,pan dulce,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,112
item_113,papas,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,113
item_114,papitas,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,114
item_115,pasas,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,115
item_116,pastel,Spanish (Mexican),WS,word,food_drink,nouns,nouns,cake,,116
item_117,peanut butter,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,117
item_118,pescado (food_drink),Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,118
item_119,plÃ¡tano/bana,Spanish (Mexican),WS,word,food_drink,nouns,nouns,banana,,119
item_120,pollo,Spanish (Mexican),WS,word,food_drink,nouns,nouns,chicken (food),,120
item_121,quesadilla,Spanish (Mexican),WS,word,food_drink,nouns,nouns,quesadilla,,121
item_122,queso,Spanish (Mexican),WS,word,food_drink,nouns,nouns,cheese,,122
item_123,sal,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,123
item_124,salchicha,Spanish (Mexican),WS,word,food_drink,nouns,nouns,hot dog,,124
item_125,salsa,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,125
item_126,sandÃ�,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,126
item_127,soda/refresco,Spanish (Mexican),WS,word,food_drink,nouns,nouns,soda,,127
item_128,sopa,Spanish (Mexican),WS,word,food_drink,nouns,nouns,soup,,128
item_129,taco,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,129
item_130,tÃ© (foo,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,130
item_131,torta/lonche,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,131
item_132,tortilla,Spanish (Mexican),WS,word,food_drink,nouns,nouns,tortilla,,132
item_133,uvas,Spanish (Mexican),WS,word,food_drink,nouns,nouns,grapes,,133
item_134,vainilla,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,134
item_135,vitaminas,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,135
item_136,yoghurt,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,136
item_137,zanahoria,Spanish (Mexican),WS,word,food_drink,nouns,nouns,NA,,137
item_138,botÃ�,Spanish (Mexican),WS,word,clothing,nouns,nouns,button,,138
item_139,bufanda,Spanish (Mexican),WS,word,clothing,nouns,nouns,NA,,139
item_140,calcetÃ�,Spanish (Mexican),WS,word,clothing,nouns,nouns,sock,,140
item_141,calzÃ�,Spanish (Mexican),WS,word,clothing,nouns,nouns,underpants,,141
item_142,camisa,Spanish (Mexican),WS,word,clothing,nouns,nouns,NA,,142
item_143,chancla,Spanish (Mexican),WS,word,clothing,nouns,nouns,NA,,143
item_144,cierre,Spanish (Mexican),WS,word,clothing,nouns,nouns,zipper,,144
item_145,collar,Spanish (Mexican),WS,word,clothing,nouns,nouns,necklace,,145
item_146,falda,Spanish (Mexican),WS,word,clothing,nouns,nouns,skirt,,146
item_147,gorra,Spanish (Mexican),WS,word,clothing,nouns,nouns,NA,,147
item_148,guantes,Spanish (Mexican),WS,word,clothing,nouns,nouns,NA,,148
item_149,lentes,Spanish (Mexican),WS,word,clothing,nouns,nouns,glasses,,149
item_150,medias,Spanish (Mexican),WS,word,clothing,nouns,nouns,tights,,150
item_151,paÃ±,Spanish (Mexican),WS,word,clothing,nouns,nouns,diaper,,151
item_152,pantalÃ�,Spanish (Mexican),WS,word,clothing,nouns,nouns,pants,,152
item_153,pijama,Spanish (Mexican),WS,word,clothing,nouns,nouns,pajamas,,153
item_154,playera,Spanish (Mexican),WS,word,clothing,nouns,nouns,t-shirt,,154
item_155,ropa,Spanish (Mexican),WS,word,clothing,nouns,nouns,NA,,155
item_156,shorts,Spanish (Mexican),WS,word,clothing,nouns,nouns,shorts,,156
item_157,sombrero,Spanish (Mexican),WS,word,clothing,nouns,nouns,hat,,157
item_158,suÃ©t,Spanish (Mexican),WS,word,clothing,nouns,nouns,sweater,,158
item_159,vestido,Spanish (Mexican),WS,word,clothing,nouns,nouns,dress (object),,159
item_160,zapato,Spanish (Mexican),WS,word,clothing,nouns,nouns,shoe,,160
item_161,barba,Spanish (Mexican),WS,word,body_parts,nouns,nouns,NA,,161
item_162,bigote,Spanish (Mexican),WS,word,body_parts,nouns,nouns,mustache,,162
item_163,boca,Spanish (Mexican),WS,word,body_parts,nouns,nouns,mouth,,163
item_164,brazo,Spanish (Mexican),WS,word,body_parts,nouns,nouns,arm,,164
item_165,cabeza,Spanish (Mexican),WS,word,body_parts,nouns,nouns,head,,165
item_166,cachete,Spanish (Mexican),WS,word,body_parts,nouns,nouns,cheek,,166
item_167,cara,Spanish (Mexican),WS,word,body_parts,nouns,nouns,face,,167
item_168,chichi/pecho,Spanish (Mexican),WS,word,body_parts,nouns,nouns,breast,,168
item_169,dedo,Spanish (Mexican),WS,word,body_parts,nouns,nouns,finger,,169
item_170,dientes,Spanish (Mexican),WS,word,body_parts,nouns,nouns,tooth,,170
item_171,garganta/anginas,Spanish (Mexican),WS,word,body_parts,nouns,nouns,NA,,171
item_172,hombro,Spanish (Mexican),WS,word,body_parts,nouns,nouns,NA,,172
item_173,labios,Spanish (Mexican),WS,word,body_parts,nouns,nouns,NA,,173
item_174,lengua,Spanish (Mexican),WS,word,body_parts,nouns,nouns,tongue,,174
item_175,mano,Spanish (Mexican),WS,word,body_parts,nouns,nouns,hand,,175
item_176,nalgas,Spanish (Mexican),WS,word,body_parts,nouns,nouns,NA,,176
item_177,nariz,Spanish (Mexican),WS,word,body_parts,nouns,nouns,nose,,177
item_178,ojos,Spanish (Mexican),WS,word,body_parts,nouns,nouns,eye,,178
item_179,ombligo,Spanish (Mexican),WS,word,body_parts,nouns,nouns,belly button,,179
item_180,oreja,Spanish (Mexican),WS,word,body_parts,nouns,nouns,ear,,180
item_181,panza,Spanish (Mexican),WS,word,body_parts,nouns,nouns,tummy,,181
item_182,pelo,Spanish (Mexican),WS,word,body_parts,nouns,nouns,hair,,182
item_183,pene,Spanish (Mexican),WS,word,body_parts,nouns,nouns,penis,,183
item_184,piernas,Spanish (Mexican),WS,word,body_parts,nouns,nouns,leg,,184
item_185,pies,Spanish (Mexican),WS,word,body_parts,nouns,nouns,foot,,185
item_186,rodilla,Spanish (Mexican),WS,word,body_parts,nouns,nouns,knee,,186
item_187,vagina,Spanish (Mexican),WS,word,body_parts,nouns,nouns,vagina,,187
item_188,bat,Spanish (Mexican),WS,word,toys,nouns,nouns,bat,,188
item_189,burbujas,Spanish (Mexican),WS,word,toys,nouns,nouns,NA,,189
item_190,colores,Spanish (Mexican),WS,word,toys,nouns,nouns,NA,,190
item_191,crayolas,Spanish (Mexican),WS,word,toys,nouns,nouns,NA,,191
item_192,globo/bomba,Spanish (Mexican),WS,word,toys,nouns,nouns,balloon,,192
item_193,hoja/papel,Spanish (Mexican),WS,word,toys,nouns,nouns,NA,,193
item_194,juguete,Spanish (Mexican),WS,word,toys,nouns,nouns,toy (object),,194
item_195,lÃ¡p,Spanish (Mexican),WS,word,toys,nouns,nouns,pen/pencil,,195
item_196,libro,Spanish (Mexican),WS,word,toys,nouns,nouns,book,,196
item_197,muÃ±e,Spanish (Mexican),WS,word,toys,nouns,nouns,doll,,197
item_198,osito,Spanish (Mexican),WS,word,toys,nouns,nouns,teddybear,,198
item_199,patines,Spanish (Mexican),WS,word,toys,nouns,nouns,NA,,199
item_200,pelota,Spanish (Mexican),WS,word,toys,nouns,nouns,ball,,200
item_201,pinturas,Spanish (Mexican),WS,word,toys,nouns,nouns,NA,,201
item_202,plastilina,Spanish (Mexican),WS,word,toys,nouns,nouns,NA,,202
item_203,pluma/plumones,Spanish (Mexican),WS,word,toys,nouns,nouns,NA,,203
item_204,tambor,Spanish (Mexican),WS,word,toys,nouns,nouns,drum,,204
item_205,triciclo (toys),Spanish (Mexican),WS,word,toys,nouns,nouns,NA,,205
item_206,botas,Spanish (Mexican),WS,word,clothing,nouns,nouns,boots,,206
item_207,bolsa (clothing),Spanish (Mexican),WS,word,clothing,nouns,nouns,purse,,207
item_208,babero,Spanish (Mexican),WS,word,clothing,nouns,nouns,bib,,208
item_209,aretes,Spanish (Mexican),WS,word,clothing,nouns,nouns,earrings,,209
